Date,Orders,"Gross sales",Returns,Coupons,"Net sales",Taxes,Shipping,"Total sales"
"2024-03-28 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-27 00:00:00",1,27.00,0.00,0.00,27.00,0.00,8.50,35.50
"2024-03-26 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-25 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-24 00:00:00",1,30.00,0.00,0.00,30.00,0.00,8.50,38.50
"2024-03-23 00:00:00",2,224.50,0.00,0.00,224.50,0.00,17.00,241.50
"2024-03-22 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-21 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-20 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-19 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-18 00:00:00",1,150.00,0.00,0.00,150.00,0.00,8.50,158.50
"2024-03-17 00:00:00",3,102.00,0.00,0.00,102.00,0.00,25.50,127.50
"2024-03-16 00:00:00",1,30.00,0.00,0.00,30.00,0.00,8.50,38.50
"2024-03-15 00:00:00",1,30.00,0.00,0.00,30.00,0.00,8.50,38.50
"2024-03-14 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-13 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-12 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-11 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-10 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-09 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-08 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-07 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-06 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-05 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-04 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-03 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-02 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-01 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-29 00:00:00",1,87.00,0.00,0.00,87.00,0.00,6.95,93.95
"2024-02-28 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
